date,region,category,product_name,internal_price,competitor_price,units_sold,inventory_level,revenue,price_index
2026-03-02,West,Apparel,Abominable Hoodie,72.75,68.34,63,153,4583.0,1.06
2026-03-02,West,Lifestyle,Adrienne Trek Jacket,58.21,58.95,45,86,2619.0,0.99
2026-03-02,West,Lifestyle,Aeon Capri,43.12,47.5,20,136,862.0,0.91
2026-03-02,West,Apparel,Aero Daily Fitness Tee,20.8,25.61,61,31,1269.0,0.81
2026-03-02,West,Lifestyle,Aether Gym Pant,73.25,73.69,48,137,3516.0,0.99
2026-03-02,West,Lifestyle,Affirm Water Bottle,10.91,7.28,96,82,1047.0,1.5
2026-03-02,West,Lifestyle,Aim Analog Watch,48.21,46.51,91,182,4387.0,1.04
2026-03-02,West,Lifestyle,Ajax Full-Zip Sweatshirt,65.1,67.01,70,167,4557.0,0.97
2026-03-02,West,Lifestyle,Ana Running Short,41.09,41.69,91,148,3739.0,0.99
2026-03-02,West,Lifestyle,Angel Light Running Short,40.98,43.7,45,91,1844.0,0.94
2026-03-02,West,Lifestyle,Antonia Racer Tank,31.16,33.61,30,118,935.0,0.93
2026-03-02,West,Lifestyle,Apollo Running Short,33.15,33.72,58,41,1923.0,0.98
2026-03-02,West,Lifestyle,Arcadio Gym Short,18.88,19.05,69,107,1303.0,0.99
2026-03-02,West,Lifestyle,Argus All-Weather Tank,24.27,22.59,51,153,1238.0,1.07
2026-03-02,West,Lifestyle,Ariel Roll Sleeve Sweatshirt,43.06,39.59,5,163,215.0,1.09
2026-03-02,West,Lifestyle,Artemis Running Short,47.7,46.91,85,181,4055.0,1.02
2026-03-02,East,Apparel,Abominable Hoodie,66.32,70.57,73,21,4841.0,0.94
2026-03-02,East,Lifestyle,Adrienne Trek Jacket,59.91,57.64,93,191,5572.0,1.04
2026-03-02,East,Lifestyle,Aeon Capri,49.01,48.44,98,177,4803.0,1.01
2026-03-02,East,Apparel,Aero Daily Fitness Tee,19.03,24.72,44,125,837.0,0.77
2026-03-02,East,Lifestyle,Aether Gym Pant,69.63,73.21,84,170,5849.0,0.95
2026-03-02,East,Lifestyle,Affirm Water Bottle,6.66,8.23,42,142,280.0,0.81
2026-03-02,East,Lifestyle,Aim Analog Watch,48.77,43.89,85,37,4145.0,1.11
2026-03-02,East,Lifestyle,Ajax Full-Zip Sweatshirt,70.43,70.19,90,35,6339.0,1.0
2026-03-02,East,Lifestyle,Ana Running Short,37.16,39.33,95,155,3530.0,0.94
2026-03-02,East,Lifestyle,Angel Light Running Short,44.32,41.47,96,96,4255.0,1.07
2026-03-02,East,Lifestyle,Antonia Racer Tank,29.25,34.27,29,199,848.0,0.85
2026-03-02,East,Lifestyle,Apollo Running Short,28.87,32.13,92,112,2656.0,0.9
2026-03-02,East,Lifestyle,Arcadio Gym Short,24.3,21.25,87,166,2114.0,1.14
2026-03-02,East,Lifestyle,Argus All-Weather Tank,21.76,23.28,55,179,1197.0,0.93
2026-03-02,East,Lifestyle,Ariel Roll Sleeve Sweatshirt,36.18,38.21,32,57,1158.0,0.95
2026-03-02,East,Lifestyle,Artemis Running Short,40.33,43.76,21,15,847.0,0.92
2026-03-02,Central,Apparel,Abominable Hoodie,70.01,68.43,39,37,2730.0,1.02
2026-03-02,Central,Lifestyle,Adrienne Trek Jacket,61.79,58.48,23,62,1421.0,1.06
2026-03-02,Central,Lifestyle,Aeon Capri,43.56,49.91,34,170,1481.0,0.87
2026-03-02,Central,Apparel,Aero Daily Fitness Tee,27.03,23.52,16,34,432.0,1.15
2026-03-02,Central,Lifestyle,Aether Gym Pant,74.78,72.42,49,129,3664.0,1.03
2026-03-02,Central,Lifestyle,Affirm Water Bottle,7.75,6.18,17,115,132.0,1.25
2026-03-02,Central,Lifestyle,Aim Analog Watch,46.88,46.64,96,129,4500.0,1.01
2026-03-02,Central,Lifestyle,Ajax Full-Zip Sweatshirt,65.54,67.1,25,61,1639.0,0.98
2026-03-02,Central,Lifestyle,Ana Running Short,37.68,39.15,60,94,2261.0,0.96
2026-03-02,Central,Lifestyle,Angel Light Running Short,39.26,42.43,86,50,3376.0,0.93
2026-03-02,Central,Lifestyle,Antonia Racer Tank,35.39,32.96,13,51,460.0,1.07
2026-03-02,Central,Lifestyle,Apollo Running Short,34.65,30.83,70,103,2426.0,1.12
2026-03-02,Central,Lifestyle,Arcadio Gym Short,16.99,19.15,87,92,1478.0,0.89
2026-03-02,Central,Lifestyle,Argus All-Weather Tank,25.29,20.32,30,49,759.0,1.24
2026-03-02,Central,Lifestyle,Ariel Roll Sleeve Sweatshirt,36.12,39.98,18,194,650.0,0.9
2026-03-02,Central,Lifestyle,Artemis Running Short,43.45,44.73,58,105,2520.0,0.97
2026-03-02,South,Apparel,Abominable Hoodie,64.3,70.09,36,58,2315.0,0.92
2026-03-02,South,Lifestyle,Adrienne Trek Jacket,52.47,57.83,6,16,315.0,0.91
2026-03-02,South,Lifestyle,Aeon Capri,43.28,49.71,86,14,3722.0,0.87
